ID,MSSUBCLASS,MSZONING,LOTFRONTAGE,LOTAREA,STREET,ALLEY,LOTSHAPE,LANDCONTOUR,UTILITIES,LOTCONFIG,LANDSLOPE,NEIGHBORHOOD,CONDITION1,CONDITION2,BLDGTYPE,HOUSESTYLE,OVERALLQUAL,OVERALLCOND,YEARBUILT,YEARREMODADD,ROOFSTYLE,ROOFMATL,EXTERIOR1ST,EXTERIOR2ND,MASVNRTYPE,MASVNRAREA,EXTERQUAL,EXTERCOND,FOUNDATION,BSMTQUAL,BSMTCOND,BSMTEXPOSURE,BSMTFINTYPE1,BSMTFINSF1,BSMTFINTYPE2,BSMTFINSF2,BSMTUNFSF,TOTALBSMTSF,HEATING,HEATINGQC,CENTRALAIR,ELECTRICAL,1STFLRSF,2NDFLRSF,LOWQUALFINSF,GRLIVAREA,BSMTFULLBATH,BSMTHALFBATH,FULLBATH,HALFBATH,BEDROOMABVGR,KITCHENABVGR,KITCHENQUAL,TOTRMSABVGRD,FUNCTIONAL,FIREPLACES,FIREPLACEQU,GARAGETYPE,GARAGEFINISH,GARAGECARS,GARAGEAREA,GARAGEQUAL,GARAGECOND,PAVEDDRIVE,WOODDECKSF,OPENPORCHSF,ENCLOSEDPORCH,3SSNPORCH,SCREENPORCH,FENCE,MISCFEATURE,MISCVAL,MOSOLD,YRSOLD,SALETYPE,SALECONDITION,SALEPRICE,HASGARAGE,HASPOOL
315,70,RM,60.0,9600.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,OLDTOWN,NORM,NORM,1FAM,2STORY,7,7,1925,1990,GABLE,COMPSHG,WD SDNG,WD SDNG,None,0.0,TA,TA,BRKTIL,TA,GD,TA,LWQ,16.0,GD,0.0,712.0,728.0,GASA,EX,Y,SBRKR,832.0,809.0,0.0,1641.0,0,1,1,1,3,1,EX,6,TYP,1,GD,DETCHD,DETCHD,2,546.0,DETCHD,DETCHD,Y,0.0,0.0,234.0,0.0,0.0,NA,NA,0,8,2006,WD,NORMAL,178000,True,False
316,60,RL,71.0,7795.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,GILBERT,NORM,NORM,1FAM,2STORY,7,5,2004,2005,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,GD,TA,PCONC,GD,TA,GD,GLQ,425.0,TA,0.0,291.0,716.0,GASA,EX,Y,SBRKR,716.0,716.0,0.0,1432.0,1,0,2,1,3,1,GD,6,TYP,1,GD,ATTCHD,ATTCHD,2,432.0,ATTCHD,ATTCHD,Y,100.0,51.0,0.0,0.0,0.0,NA,NA,0,7,2009,WD,NORMAL,188500,True,False
317,60,RL,94.0,13005.0,PAVE,NA,IR1,LVL,ALLPUB,CORNER,GTL,NWAMES,NORM,NORM,1FAM,2STORY,7,7,1980,1980,GABLE,COMPSHG,CEMNTBD,CMENTBD,BRKFACE,278.0,GD,TA,CBLOCK,GD,TA,GD,GLQ,692.0,TA,0.0,153.0,845.0,GASA,TA,Y,SBRKR,1153.0,1200.0,0.0,2353.0,1,0,2,1,4,1,EX,10,TYP,1,TA,ATTCHD,ATTCHD,2,484.0,ATTCHD,ATTCHD,Y,288.0,195.0,0.0,0.0,0.0,NA,NA,0,8,2009,WD,NORMAL,260000,True,False
318,60,FV,75.0,9000.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,SOMERST,NORM,NORM,1FAM,2STORY,8,5,2006,2006,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,GD,TA,PCONC,GD,TA,GD,UNF,0.0,TA,0.0,1088.0,1088.0,GASA,EX,Y,SBRKR,1088.0,871.0,0.0,1959.0,0,0,2,1,3,1,GD,8,TYP,1,GD,ATTCHD,ATTCHD,3,1025.0,ATTCHD,ATTCHD,Y,208.0,46.0,0.0,0.0,0.0,NA,NA,0,12,2007,WD,NORMAL,270000,True,False
319,60,RL,90.0,9900.0,PAVE,NA,REG,LOW,ALLPUB,INSIDE,MOD,NORIDGE,NORM,NORM,1FAM,2STORY,7,5,1993,1993,GABLE,COMPSHG,HDBOARD,HDBOARD,BRKFACE,256.0,GD,TA,PCONC,GD,TA,GD,GLQ,987.0,TA,0.0,360.0,1347.0,GASA,EX,Y,SBRKR,1372.0,1274.0,0.0,2646.0,1,0,2,1,4,1,GD,9,TYP,1,TA,ATTCHD,ATTCHD,3,656.0,ATTCHD,ATTCHD,Y,340.0,60.0,144.0,0.0,0.0,NA,NA,0,4,2009,WD,NORMAL,260000,True,False
320,80,RL,0.0,14115.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NWAMES,NORM,NORM,1FAM,SLVL,7,5,1980,1980,GABLE,COMPSHG,PLYWOOD,PLYWOOD,BRKFACE,225.0,TA,TA,CBLOCK,GD,TA,GD,GLQ,1036.0,TA,0.0,336.0,1372.0,GASA,TA,Y,SBRKR,1472.0,0.0,0.0,1472.0,1,0,2,0,3,1,TA,6,TYP,2,TA,ATTCHD,ATTCHD,2,588.0,ATTCHD,ATTCHD,Y,233.0,48.0,0.0,0.0,0.0,NA,NA,0,6,2009,WD,NORMAL,187500,True,False
321,60,RL,111.0,16259.0,PAVE,NA,REG,LVL,ALLPUB,CORNER,GTL,NRIDGHT,NORM,NORM,1FAM,2STORY,9,5,2006,2006,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,370.0,TA,TA,PCONC,EX,GD,EX,UNF,0.0,GD,0.0,1249.0,1249.0,GASA,EX,Y,SBRKR,1249.0,1347.0,0.0,2596.0,0,0,3,1,4,1,GD,9,TYP,0,NA,ATTCHD,ATTCHD,3,840.0,ATTCHD,ATTCHD,Y,240.0,154.0,0.0,0.0,0.0,NA,NA,0,9,2006,NEW,PARTIAL,342643,True,False
322,60,RL,99.0,12099.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,1FAM,2STORY,8,5,2004,2004,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,388.0,GD,TA,PCONC,EX,TA,EX,GLQ,970.0,TA,0.0,166.0,1136.0,GASA,EX,Y,SBRKR,1136.0,1332.0,0.0,2468.0,1,0,2,1,4,1,GD,10,TYP,1,GD,BUILTIN,BUILTIN,3,872.0,BUILTIN,BUILTIN,Y,184.0,154.0,0.0,0.0,0.0,NA,NA,0,6,2007,WD,NORMAL,354000,True,False
323,60,RL,86.0,10380.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,SAWYERW,NORM,NORM,1FAM,2STORY,7,5,1986,1987,GABLE,COMPSHG,PLYWOOD,PLYWOOD,BRKFACE,172.0,GD,TA,CBLOCK,TA,TA,TA,LWQ,28.0,TA,1474.0,0.0,1502.0,GASA,EX,Y,SBRKR,1553.0,1177.0,0.0,2730.0,1,0,2,1,4,1,GD,8,TYP,1,TA,ATTCHD,ATTCHD,2,576.0,ATTCHD,ATTCHD,Y,201.0,96.0,0.0,0.0,0.0,NA,NA,0,8,2007,WD,NORMAL,301000,True,False
324,20,RM,49.0,5820.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,OLDTOWN,NORM,NORM,1FAM,1STORY,3,8,1955,2005,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,TA,GD,CBLOCK,TA,TA,TA,ALQ,256.0,TA,0.0,906.0,1162.0,GASA,EX,Y,SBRKR,1163.0,0.0,0.0,1163.0,1,0,1,0,3,1,TA,6,TYP,0,NA,ATTCHD,ATTCHD,1,220.0,ATTCHD,ATTCHD,Y,142.0,98.0,0.0,0.0,0.0,NA,NA,0,7,2006,WD,NORMAL,126175,True,False
325,80,RL,96.0,11275.0,PAVE,NA,REG,LVL,ALLPUB,CORNER,GTL,NAMES,POSN,NORM,1FAM,SLVL,7,7,1967,2007,MANSARD,WDSHAKE,WD SDNG,WD SDNG,BRKFACE,300.0,GD,GD,CBLOCK,GD,TA,GD,UNF,0.0,TA,0.0,710.0,710.0,GASA,EX,Y,SBRKR,1898.0,1080.0,0.0,2978.0,0,0,2,1,5,1,GD,11,TYP,1,GD,BUILTIN,BUILTIN,2,564.0,BUILTIN,BUILTIN,Y,240.0,0.0,0.0,0.0,0.0,NA,NA,0,6,2010,WD,NORMAL,242000,True,False
326,45,RM,50.0,5000.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,IDOTRR,RRAE,NORM,1FAM,1.5UNF,5,6,1941,1950,GABLE,COMPSHG,METALSD,METALSD,None,0.0,TA,TA,CBLOCK,TA,TA,TA,BLQ,116.0,TA,0.0,604.0,720.0,GASA,PO,N,FUSEF,803.0,0.0,0.0,803.0,0,0,1,0,2,1,TA,5,TYP,0,NA,DETCHD,DETCHD,2,360.0,DETCHD,DETCHD,Y,0.0,0.0,244.0,0.0,0.0,NA,NA,0,12,2007,WD,NORMAL,87000,True,False
327,120,RL,32.0,10846.0,PAVE,NA,IR1,LVL,ALLPUB,CULDSAC,GTL,VEENKER,NORM,NORM,TWNHSE,1STORY,8,5,1993,1993,GABLE,COMPSHG,BRKFACE,BRKFACE,None,0.0,GD,TA,PCONC,GD,TA,GD,GLQ,1619.0,TA,0.0,100.0,1719.0,GASA,EX,Y,SBRKR,1719.0,0.0,0.0,1719.0,2,0,1,1,1,1,GD,6,TYP,2,GD,ATTCHD,ATTCHD,2,473.0,ATTCHD,ATTCHD,Y,122.0,30.0,0.0,0.0,0.0,NA,NA,0,5,2008,CON,NORMAL,324000,True,False
328,20,RL,80.0,11600.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,6,5,1960,1960,HIP,COMPSHG,WD SDNG,WD SDNG,BRKFACE,175.0,TA,TA,CBLOCK,TA,TA,TA,REC,565.0,TA,0.0,818.0,1383.0,GASA,TA,Y,SBRKR,1383.0,0.0,0.0,1383.0,0,0,1,1,3,1,TA,7,TYP,0,NA,ATTCHD,ATTCHD,1,292.0,ATTCHD,ATTCHD,Y,0.0,45.0,0.0,0.0,0.0,NA,NA,0,4,2006,WD,NORMAL,145250,True,False
329,75,RL,0.0,11888.0,PAVE,NA,IR1,BNK,ALLPUB,INSIDE,GTL,BRKSIDE,POSN,NORM,1FAM,2.5UNF,6,6,1916,1994,GABLE,COMPSHG,WD SDNG,WD SHNG,None,0.0,TA,TA,BRKTIL,TA,TA,TA,UNF,0.0,TA,0.0,844.0,844.0,GASA,GD,N,FUSEA,1445.0,689.0,0.0,2134.0,0,0,2,0,5,1,GD,10,TYP,0,NA,DETCHD,DETCHD,2,441.0,DETCHD,DETCHD,Y,0.0,60.0,268.0,0.0,0.0,NA,NA,0,7,2009,WD,NORMAL,214500,True,False
330,70,RM,60.0,6402.0,PAVE,NA,REG,LVL,ALLPUB,CORNER,GTL,IDOTRR,NORM,NORM,1FAM,2STORY,5,5,1920,1950,GABLE,COMPSHG,WD SDNG,WD SHNG,None,0.0,TA,TA,PCONC,TA,TA,TA,UNF,0.0,TA,0.0,596.0,596.0,GASA,TA,N,SBRKR,596.0,596.0,0.0,1192.0,0,0,1,0,3,1,TA,6,TYP,0,NA,DETCHD,DETCHD,1,189.0,DETCHD,DETCHD,N,0.0,0.0,137.0,0.0,0.0,NA,NA,0,7,2009,WD,NORMAL,78000,True,False
331,90,RL,0.0,10624.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,DUPLEX,1STORY,5,4,1964,1964,GABLE,COMPSHG,HDBOARD,HDBOARD,BRKFACE,84.0,TA,TA,CBLOCK,TA,TA,TA,GLQ,40.0,TA,264.0,1424.0,1728.0,GASA,TA,Y,SBRKR,1728.0,0.0,0.0,1728.0,0,1,2,0,6,2,TA,10,TYP,0,NA,DETCHD,DETCHD,1,352.0,DETCHD,DETCHD,Y,155.0,0.0,0.0,0.0,0.0,NA,NA,0,11,2007,WD,NORMAL,119000,True,False
332,20,RL,70.0,8176.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,6,1958,1992,GABLE,COMPSHG,WD SDNG,WD SDNG,None,0.0,TA,TA,CBLOCK,TA,TA,TA,REC,846.0,TA,0.0,210.0,1056.0,GASA,FA,Y,SBRKR,1056.0,0.0,0.0,1056.0,1,0,1,0,3,1,TA,6,TYP,0,NA,ATTCHD,ATTCHD,1,308.0,ATTCHD,ATTCHD,Y,0.0,0.0,0.0,0.0,0.0,NA,NA,0,8,2007,WD,NORMAL,139000,True,False
334,120,RM,59.0,8198.0,PAVE,NA,REG,LVL,ALLPUB,FR3,GTL,NRIDGHT,NORM,NORM,TWNHSE,1STORY,7,5,2004,2004,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,146.0,GD,TA,PCONC,GD,TA,GD,GLQ,720.0,TA,0.0,638.0,1358.0,GASA,EX,Y,SBRKR,1358.0,0.0,0.0,1358.0,1,0,2,0,2,1,GD,6,TYP,1,GD,ATTCHD,ATTCHD,2,484.0,ATTCHD,ATTCHD,Y,192.0,30.0,0.0,0.0,0.0,NA,NA,0,7,2008,WD,NORMAL,207000,True,False
335,60,RL,59.0,9042.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,GILBERT,NORM,NORM,1FAM,2STORY,6,5,1998,1998,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,TA,TA,PCONC,GD,TA,GD,GLQ,828.0,TA,0.0,115.0,943.0,GASA,GD,Y,SBRKR,943.0,695.0,0.0,1638.0,1,0,2,1,3,1,TA,7,TYP,2,TA,ATTCHD,ATTCHD,2,472.0,ATTCHD,ATTCHD,Y,100.0,38.0,0.0,0.0,0.0,NA,NA,0,7,2008,WD,NORMAL,192000,True,False
336,190,RL,0.0,164660.0,GRVL,SHED,IR1,HLS,ALLPUB,CORNER,SEV,TIMBER,NORM,NORM,2FMCON,1.5FIN,5,6,1965,1965,GABLE,COMPSHG,PLYWOOD,PLYWOOD,None,0.0,TA,TA,CBLOCK,TA,TA,TA,ALQ,1249.0,TA,147.0,103.0,1499.0,GASA,EX,Y,SBRKR,1619.0,167.0,0.0,1786.0,2,0,2,0,3,1,TA,7,TYP,2,GD,ATTCHD,ATTCHD,2,529.0,ATTCHD,ATTCHD,Y,670.0,0.0,0.0,0.0,0.0,SHED,SHED,700,8,2008,WD,NORMAL,228950,True,False
337,20,RL,86.0,14157.0,PAVE,NA,IR1,HLS,ALLPUB,CORNER,GTL,STONEBR,NORM,NORM,1FAM,1STORY,9,5,2005,2006,HIP,COMPSHG,VINYLSD,VINYLSD,STONE,200.0,GD,TA,PCONC,EX,TA,EX,GLQ,1249.0,TA,0.0,673.0,1922.0,GASA,EX,Y,SBRKR,1922.0,0.0,0.0,1922.0,1,0,2,0,3,1,GD,8,TYP,1,GD,ATTCHD,ATTCHD,3,676.0,ATTCHD,ATTCHD,Y,178.0,51.0,0.0,0.0,0.0,NA,NA,0,7,2007,WD,NORMAL,377426,True,False
338,20,RL,70.0,9135.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,7,5,2002,2003,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,113.0,GD,TA,PCONC,GD,TA,GD,GLQ,810.0,TA,0.0,726.0,1536.0,GASA,EX,Y,SBRKR,1536.0,0.0,0.0,1536.0,1,0,2,0,3,1,GD,7,TYP,0,NA,ATTCHD,ATTCHD,2,532.0,ATTCHD,ATTCHD,Y,192.0,74.0,0.0,0.0,0.0,NA,NA,0,12,2008,WD,NORMAL,214000,True,False
339,20,RL,91.0,14145.0,PAVE,SHED,REG,LVL,ALLPUB,CORNER,GTL,NWAMES,NORM,NORM,1FAM,1STORY,7,7,1984,1998,GABLE,COMPSHG,WD SDNG,WD SDNG,None,0.0,GD,TA,CBLOCK,GD,TA,GD,ALQ,213.0,TA,0.0,995.0,1208.0,GASA,EX,Y,SBRKR,1621.0,0.0,0.0,1621.0,1,0,2,0,3,1,GD,8,TYP,0,NA,ATTCHD,ATTCHD,2,440.0,ATTCHD,ATTCHD,Y,108.0,45.0,0.0,0.0,0.0,SHED,SHED,400,5,2006,WD,NORMAL,202500,True,False
340,20,RL,66.0,12400.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,NAMES,FEEDR,NORM,1FAM,1STORY,6,7,1958,1998,HIP,COMPSHG,WD SDNG,WD SDNG,BRKFACE,176.0,TA,TA,CBLOCK,TA,FA,TA,REC,585.0,FA,0.0,630.0,1215.0,GASA,TA,Y,FUSEA,1215.0,0.0,0.0,1215.0,0,0,1,0,3,1,TA,6,TYP,0,NA,ATTCHD,ATTCHD,1,297.0,ATTCHD,ATTCHD,Y,0.0,0.0,0.0,0.0,234.0,NA,NA,0,6,2009,WD,NORMAL,155000,True,False
341,60,RL,85.0,14191.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,TIMBER,NORM,NORM,1FAM,2STORY,8,5,2002,2002,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,GD,TA,PCONC,GD,TA,GD,UNF,0.0,TA,0.0,967.0,967.0,GASA,EX,Y,SBRKR,993.0,915.0,0.0,1908.0,0,0,2,1,4,1,GD,9,TYP,0,NA,ATTCHD,ATTCHD,2,431.0,ATTCHD,ATTCHD,Y,135.0,0.0,0.0,0.0,0.0,NA,NA,0,4,2010,WD,NORMAL,202900,True,False
342,20,RH,60.0,8400.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,SAWYERW,FEEDR,NORM,1FAM,1STORY,4,4,1950,1950,GABLE,COMPSHG,WD SDNG,ASBSHNG,None,0.0,FA,FA,CBLOCK,TA,FA,TA,UNF,0.0,FA,0.0,721.0,721.0,GASA,GD,Y,SBRKR,841.0,0.0,0.0,841.0,0,0,1,0,2,1,TA,4,TYP,0,NA,CARPORT,CARPORT,1,294.0,CARPORT,CARPORT,N,250.0,0.0,24.0,0.0,0.0,NA,NA,0,9,2009,WD,NORMAL,82000,True,False
343,90,RL,0.0,8544.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,DUPLEX,1STORY,3,4,1949,1950,GABLE,COMPSHG,STUCCO,STUCCO,BRKFACE,340.0,TA,TA,SLAB,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,WALL,FA,N,FUSEA,1040.0,0.0,0.0,1040.0,0,0,2,0,2,2,TA,6,TYP,0,NA,DETCHD,DETCHD,2,400.0,DETCHD,DETCHD,Y,0.0,0.0,0.0,0.0,0.0,NA,NA,0,5,2006,WD,NORMAL,87500,True,False
344,120,RL,63.0,8849.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,TWNHSE,1STORY,9,5,2005,2005,HIP,COMPSHG,METALSD,METALSD,BRKFACE,616.0,EX,TA,PCONC,EX,TA,EX,GLQ,28.0,TA,0.0,1656.0,1684.0,GASA,EX,Y,SBRKR,1684.0,0.0,0.0,1684.0,0,0,2,0,2,1,EX,6,TYP,1,EX,ATTCHD,ATTCHD,2,564.0,ATTCHD,ATTCHD,Y,495.0,72.0,0.0,0.0,0.0,NA,NA,0,7,2008,WD,NORMAL,266000,True,False
345,160,RM,36.0,2592.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,MEADOWV,NORM,NORM,TWNHSE,2STORY,5,3,1976,1976,GABLE,COMPSHG,CEMNTBD,CMENTBD,None,0.0,TA,TA,CBLOCK,GD,TA,GD,REC,129.0,TA,232.0,175.0,536.0,GASA,TA,Y,SBRKR,536.0,576.0,0.0,1112.0,0,0,1,1,3,1,TA,4,TYP,0,NA,ATTCHD,ATTCHD,1,336.0,ATTCHD,ATTCHD,Y,182.0,0.0,0.0,0.0,0.0,NA,NA,0,4,2010,WD,NORMAL,85000,True,False
346,50,RL,65.0,6435.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,BRKSIDE,RRAN,NORM,1FAM,1.5FIN,6,5,1939,1950,GABLE,COMPSHG,METALSD,METALSD,None,0.0,TA,TA,BRKTIL,TA,TA,TA,UNF,0.0,TA,0.0,972.0,972.0,GASA,GD,Y,SBRKR,972.0,605.0,0.0,1577.0,0,0,1,0,3,1,FA,6,TYP,1,GD,DETCHD,DETCHD,1,312.0,DETCHD,DETCHD,Y,0.0,0.0,0.0,0.0,0.0,NA,NA,0,10,2006,WD,NORMAL,140200,True,False
347,20,RL,0.0,12772.0,PAVE,GAR2,IR1,LVL,ALLPUB,CULDSAC,GTL,NAMES,NORM,NORM,1FAM,1STORY,6,8,1960,1998,HIP,COMPSHG,METALSD,METALSD,None,0.0,TA,GD,CBLOCK,TA,TA,TA,BLQ,498.0,TA,0.0,460.0,958.0,GASA,TA,Y,SBRKR,958.0,0.0,0.0,958.0,0,0,1,0,2,1,TA,5,TYP,0,NA,ATTCHD,ATTCHD,1,301.0,ATTCHD,ATTCHD,Y,0.0,0.0,0.0,0.0,0.0,GAR2,GAR2,15500,4,2007,WD,NORMAL,151500,True,False
348,20,RL,0.0,17600.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,6,5,1960,1960,GABLE,COMPSHG,WD SDNG,WD SDNG,BRKFACE,30.0,TA,TA,CBLOCK,TA,TA,TA,BLQ,1270.0,TA,0.0,208.0,1478.0,GASA,EX,Y,FUSEA,1478.0,0.0,0.0,1478.0,1,0,2,0,3,1,TA,6,TYP,2,GD,ATTCHD,ATTCHD,2,498.0,ATTCHD,ATTCHD,Y,0.0,40.0,0.0,0.0,0.0,NA,NA,0,12,2009,WD,NORMAL,157500,True,False
349,160,RL,36.0,2448.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,TWNHS,2STORY,7,5,2003,2004,GABLE,COMPSHG,VINYLSD,WD SHNG,STONE,106.0,GD,TA,PCONC,GD,TA,GD,GLQ,573.0,TA,0.0,191.0,764.0,GASA,EX,Y,SBRKR,764.0,862.0,0.0,1626.0,1,0,2,1,2,1,GD,6,TYP,0,NA,BUILTIN,BUILTIN,2,474.0,BUILTIN,BUILTIN,Y,0.0,27.0,0.0,0.0,0.0,NA,NA,0,10,2008,WD,NORMAL,154000,True,False
350,60,RL,56.0,20431.0,PAVE,NA,IR2,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,1FAM,2STORY,9,5,2005,2006,HIP,COMPSHG,CEMNTBD,CMENTBD,BRKFACE,870.0,EX,TA,PCONC,EX,TA,EX,GLQ,1410.0,TA,0.0,438.0,1848.0,GASA,EX,Y,SBRKR,1848.0,880.0,0.0,2728.0,1,0,2,1,4,1,EX,10,TYP,2,EX,ATTCHD,ATTCHD,3,706.0,ATTCHD,ATTCHD,Y,0.0,0.0,0.0,0.0,0.0,NA,NA,0,4,2006,NEW,PARTIAL,437154,True,False
351,120,RL,68.0,7820.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,TWNHSE,1STORY,9,5,2007,2007,HIP,COMPSHG,METALSD,METALSD,BRKFACE,362.0,EX,TA,PCONC,EX,TA,EX,UNF,0.0,TA,0.0,1869.0,1869.0,GASA,EX,Y,SBRKR,1869.0,0.0,0.0,1869.0,0,0,2,0,2,1,EX,6,TYP,1,GD,ATTCHD,ATTCHD,2,617.0,ATTCHD,ATTCHD,Y,210.0,54.0,0.0,0.0,0.0,NA,NA,0,12,2007,NEW,PARTIAL,318061,True,False
352,120,RL,0.0,5271.0,PAVE,NA,IR1,LOW,ALLPUB,INSIDE,MOD,CLEARCR,NORM,NORM,1FAM,1STORY,7,5,1986,1986,GABLE,COMPSHG,WD SDNG,WD SDNG,None,0.0,TA,TA,PCONC,GD,TA,GD,GLQ,1082.0,TA,0.0,371.0,1453.0,GASA,GD,Y,SBRKR,1453.0,0.0,0.0,1453.0,1,0,1,1,2,1,GD,6,TYP,1,TA,ATTCHD,ATTCHD,2,445.0,ATTCHD,ATTCHD,Y,0.0,80.0,0.0,0.0,184.0,NA,NA,0,12,2006,WD,ABNORML,190000,True,False
353,50,RL,60.0,9084.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,EDWARDS,ARTERY,NORM,1FAM,1.5FIN,5,6,1941,1950,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,TA,TA,CBLOCK,TA,FA,TA,LWQ,236.0,FA,380.0,0.0,616.0,GASA,TA,N,SBRKR,616.0,495.0,0.0,1111.0,0,1,1,0,3,1,TA,5,TYP,0,NA,DETCHD,DETCHD,1,200.0,DETCHD,DETCHD,Y,48.0,0.0,0.0,0.0,0.0,NA,NA,0,3,2008,CONLW,NORMAL,95000,True,False
354,30,RM,60.0,8520.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,OLDTOWN,NORM,NORM,1FAM,1STORY,6,8,1928,2003,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,TA,GD,BRKTIL,TA,TA,TA,UNF,0.0,TA,0.0,624.0,624.0,GASA,GD,Y,SBRKR,720.0,0.0,0.0,720.0,0,0,1,0,2,1,TA,5,TYP,0,NA,DETCHD,DETCHD,2,484.0,DETCHD,DETCHD,Y,106.0,0.0,0.0,0.0,0.0,NA,NA,0,5,2010,WD,NORMAL,105900,True,False
355,50,RL,60.0,8400.0,PAVE,NA,REG,BNK,ALLPUB,INSIDE,GTL,SWISU,NORM,NORM,1FAM,1.5FIN,6,5,1940,2000,GABLE,COMPSHG,WD SDNG,METALSD,None,0.0,TA,TA,CBLOCK,TA,TA,TA,LWQ,388.0,TA,0.0,552.0,940.0,GASA,EX,Y,SBRKR,1192.0,403.0,0.0,1595.0,0,0,1,0,2,1,TA,6,TYP,2,GD,ATTCHD,ATTCHD,1,240.0,ATTCHD,ATTCHD,Y,0.0,0.0,108.0,0.0,0.0,NA,NA,0,6,2006,WD,NORMAL,140000,True,False
356,20,RL,105.0,11249.0,PAVE,NA,IR2,LVL,ALLPUB,INSIDE,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,6,5,1995,1995,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,GD,GD,PCONC,GD,GD,GD,ALQ,334.0,GD,544.0,322.0,1200.0,GASA,EX,Y,SBRKR,1200.0,0.0,0.0,1200.0,1,0,2,0,3,1,GD,6,TYP,0,NA,ATTCHD,ATTCHD,2,521.0,ATTCHD,ATTCHD,Y,0.0,26.0,0.0,0.0,0.0,NA,NA,0,8,2007,WD,NORMAL,177500,True,False
357,20,RL,0.0,9248.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,GILBERT,NORM,NORM,1FAM,1STORY,6,6,1992,1992,GABLE,COMPSHG,HDBOARD,HDBOARD,BRKFACE,106.0,TA,TA,PCONC,GD,TA,GD,GLQ,560.0,TA,0.0,598.0,1158.0,GASA,GD,Y,SBRKR,1167.0,0.0,0.0,1167.0,1,0,2,0,3,1,GD,6,TYP,0,NA,ATTCHD,ATTCHD,2,400.0,ATTCHD,ATTCHD,Y,120.0,26.0,0.0,0.0,0.0,NA,NA,0,7,2009,WD,NORMAL,173000,True,False
358,120,RM,44.0,4224.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,MEADOWV,NORM,NORM,TWNHSE,1STORY,5,5,1976,1976,GABLE,COMPSHG,CEMNTBD,CMENTBD,None,0.0,TA,TA,PCONC,GD,TA,GD,ALQ,874.0,TA,0.0,268.0,1142.0,GASA,TA,Y,SBRKR,1142.0,0.0,0.0,1142.0,1,0,1,1,3,1,TA,6,TYP,1,PO,ATTCHD,ATTCHD,2,528.0,ATTCHD,ATTCHD,Y,536.0,90.0,0.0,0.0,0.0,NA,NA,0,8,2007,WD,NORMAL,134000,True,False
